long,bool,long,long,long,long,float,long,
8,0,8,0,5,0,0.0,0,
8,0,9,0,6,0,0.0,0,
8,0,10,0,4,0,0.0,0,
8,1,5,0,7,0,0.0,0,
10,1,0,0,0,0,0.0,2,
11,0,4,5,0,4,0.0,0,
11,0,0,1,0,0,0.0,0,
11,0,1,2,0,0,0.0,0,
11,0,2,3,0,2,0.0,0,
12,0,0,0,0,0,0.0,0,
12,1,0,0,0,0,0.0,0,
11,0,3,4,0,3,0.0,0,
11,0,5,6,0,5,0.0,0,
11,0,6,7,0,6,0.0,0,
11,0,7,8,0,0,0.0,0,
11,1,2,4,0,0,0.0,0,
11,1,3,5,0,0,0.0,0,
11,1,4,6,0,0,0.0,0,
11,1,5,7,0,0,0.0,0,
11,1,6,8,0,0,0.0,0,
13,0,0,0,0,0,0.0,0,
13,1,0,0,0,0,0.0,0,
14,1,0,0,0,0,0.0,0,
15,0,0,0,0,0,0.0,0,
15,1,0,0,0,0,0.0,0,
11,1,1,3,0,0,0.0,0,
11,1,0,2,0,0,0.0,0,
10,0,0,0,0,0,0.0,2,
10,1,2,0,3,0,0.0,2,
10,1,3,0,4,0,0.0,2,
10,1,4,0,5,0,0.0,2,
10,1,5,0,6,0,0.0,2,
10,1,6,0,7,0,0.0,2,
10,1,7,0,8,0,0.0,2,
10,1,8,0,9,0,0.0,2,
10,1,9,0,10,0,0.0,2,
10,1,10,0,11,0,0.0,2,
10,0,1,2,0,0,0.0,2,
10,0,2,3,0,0,0.0,2,
10,0,3,4,0,0,0.0,2,
10,0,4,5,0,0,0.0,2,
10,0,5,6,0,0,0.0,2,
10,0,6,7,0,0,0.0,2,
10,0,7,8,0,0,0.0,2,
10,0,8,9,0,0,0.0,2,
10,0,9,10,0,0,0.0,2,
10,1,1,0,2,0,0.0,2,
16,0,0,0,0,0,0.0,0,
16,1,0,0,0,0,0.0,0,
17,0,6,8,0,0,0.0,0,
17,1,0,0,0,0,0.0,0,
16,0,1,2,0,0,0.0,0,
16,0,2,3,0,0,0.0,0,
16,0,3,4,0,0,0.0,0,
16,0,4,5,0,0,0.0,0,
16,0,5,6,0,0,0.0,0,
18,1,0,0,0,0,-107374176.0,-858993460,
18,0,0,0,2,0,0.0,0,
18,0,10,0,4,0,0.0,0,
18,0,1,0,3,0,0.0,0,
18,0,2,0,4,0,0.0,0,
8,0,3,0,5,0,0.0,0,
18,0,4,0,6,0,0.0,0,
18,0,5,0,2,0,0.0,0,
18,0,6,0,3,0,0.0,0,
18,0,7,0,4,0,0.0,0,
18,0,8,0,5,0,0.0,0,
18,0,9,0,6,0,0.0,0,
17,0,1,3,0,0,0.0,0,
17,0,2,4,0,0,0.0,0,
17,0,0,2,0,0,0.0,0,
17,0,4,6,0,0,0.0,0,
17,0,3,5,0,0,0.0,0,
17,0,5,7,0,0,0.0,0,
19,1,0,0,0,0,0.0,0,
19,0,0,2,0,0,0.0,0,
19,0,1,3,0,0,0.0,0,
19,0,2,4,0,0,0.0,0,
20,0,1,1,0,0,0.0,0,
20,1,0,0,0,0,0.0,0,
21,0,0,0,2,0,0.0,0,
21,1,0,0,0,0,0.0,0,
21,0,1,0,3,0,0.0,0,
21,0,2,0,4,0,0.0,0,
21,0,3,0,5,0,0.0,0,
21,0,4,0,6,0,0.0,0,
20,0,2,2,0,0,0.0,0,
20,0,3,3,0,0,0.0,0,
20,0,4,4,0,0,0.0,0,
20,0,0,0,0,0,0.0,0,
